Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2019-05-24 05:25:48,false,"Cochrane Running","5.02","822","01:02:16","137","169","3.1","154","174","12:24","9:57","142","156","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:22.54","6","0.0"
running,2019-05-23 05:43:15,false,"Park County Running","6.01","1,076","01:10:56","147","174","4.0","158","174","11:48","9:41","317","344","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.65","7","0.0"
running,2019-05-22 06:08:02,false,"Teton County Running","6.01","1,152","01:19:43","145","170","3.6","139","231","13:15","9:11","765","752","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:10.14","7","0.0"
running,2019-05-20 05:09:15,false,"Greeley Running","4.02","641","00:45:33","137","145","3.0","162","169","11:20","10:14","67","87","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:16.11","5","0.0"
running,2019-05-19 06:53:47,false,"Greeley Running","7.01","1,179","01:17:05","147","169","4.4","164","184","11:00","8:51","193","181","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.58","8","0.0"
running,2019-05-18 08:12:48,false,"Greeley Running","6.01","1,027","01:07:05","148","170","4.1","160","220","11:09","8:46","172","182","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:10.50","7","0.0"
running,2019-05-15 05:24:06,false,"Greeley Running","5.51","968","01:02:53","145","167","4.2","163","174","11:25","9:15","188","179","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:23.05","6","0.0"
running,2019-05-14 05:15:59,false,"Greeley Running","4.51","766","00:48:35","151","176","4.0","163","178","10:46","8:04","14","42","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.02","20","0.0"
running,2019-05-11 09:04:53,false,"Greeley Running","6.01","1,149","01:04:29","159","188","5.0","164","175","10:43","8:26","189","205","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:14.23","7","0.0"
running,2019-04-28 06:29:44,false,"Greeley Running","12.01","2,089","02:16:26","147","168","4.1","163","176","11:22","8:43","269","292","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.43","13","0.0"
running,2019-04-27 08:17:10,false,"Greeley Running","6.01","974","01:03:29","143","166","3.5","164","175","10:34","8:23","141","174","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.27","7","0.0"
running,2019-04-25 05:42:27,false,"Greeley Running","3.27","518","00:34:29","141","158","3.0","161","180","10:32","8:30","71","82","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:24.56","4","0.0"
running,2019-04-24 05:34:01,false,"Greeley Running","5.01","884","00:51:36","154","172","4.3","166","176","10:18","8:46","105","102","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.29","6","0.0"
